project_name,queue_position,fuel_primary,fuel_secondary,fuel_tertiary,net_mw,county,state,utility,pto_study_region,poi_station_or_line,application_status,status,technology,is_withdrawn,is_completed,is_active
RECLAIMED WIND,1461.0,Battery,,,90.7,ALAMEDA,CA,PGAE,Northern,Kelso-Tesla Tap 230 kV,ACTIVE,active,storage,0,0,1
SOLANO 4 WIND,1463.0,Wind Turbine,,,90.8,SOLANO,CA,PGAE,Northern,Birds Landing 230 kV,ACTIVE,active,wind,0,0,1
KEY STORAGE 1,1479.0,Battery,,,300.1,FRESNO,CA,PGAE,Fresno,Gates 500 kV,ACTIVE,active,storage,0,0,1
AZALEA,1493.0,Solar,Battery,,60.0,KERN,CA,PGAE,Kern,Arco 70 kV ,ACTIVE,active,hybrid_solar_storage,0,0,1
CHALAN SOLAR,1495.0,Battery,Solar,,64.9,KERN,CA,PGAE,Kern,Arco 230 kV,ACTIVE,active,hybrid_solar_storage,0,0,1
DESCENDANT RANCH 1,1496.0,Battery,Solar,,500.0,COLUSA,CA,PGAE,Northern,Delevan 230 kV,ACTIVE,active,hybrid_solar_storage,0,0,1
JASMINE,1499.0,Solar,Battery,,70.0,KERN,CA,PGAE,Kern,Lakeview 70 kV,ACTIVE,active,hybrid_solar_storage,0,0,1
PROSPECT ENERGY STORAGE,1507.0,Battery,,,49.9,SACRAMENTO,CA,PGAE,Northern,Gold Hill 60 kV,ACTIVE,active,storage,0,0,1
BELLEFIELD SOLAR FARM,1510.0,Solar,Battery,,500.0,KERN,CA,SCE,Northern,Windhub Substation 230kV,ACTIVE,active,hybrid_solar_storage,0,0,1
SANBORN SOLAR 2,1518.0,Solar,Battery,,500.0,KERN,CA,SCE,Northern,Windhub Substation 230kV,ACTIVE,active,hybrid_solar_storage,0,0,1
BALDY MESA 2,1519.0,Solar,Battery,,100.0,SAN BERNARDINO,CA,SCE,NOL,Roadway Substation 115kV,ACTIVE,active,hybrid_solar_storage,0,0,1
ARIDA SOLAR FARM,1522.0,Battery,Solar,,370.0,CLARK,NV,SCE,EOP,Mohave Substation 500kV,ACTIVE,active,hybrid_solar_storage,0,0,1
CENTENNIAL FLATS,1529.0,Solar,Battery,,500.0,LA PAZ,AZ,DCRT,Eastern,Delaney-Colorado River 500 kV Line,ACTIVE,active,hybrid_solar_storage,0,0,1
KETTLE SOLAR ONE,1532.0,Solar,Battery,,90.0,SAN DIEGO,CA,SDGE,SDGE,Carrizo Gorge Switchyard 138 kV,ACTIVE,active,hybrid_solar_storage,0,0,1
VULCAN,1534.0,Battery,Solar,,250.0,MARICOPA,AZ,SDGE,SDGE,Hassayampa Common Bus 500 kV,ACTIVE,active,hybrid_solar_storage,0,0,1
IRVING STORAGE,1539.0,Battery,,,750.0,MONTEREY,CA,PGAE,Northern,Moss Landing 500 kV,ACTIVE,active,storage,0,0,1
TANAGER STORAGE,1550.0,Battery,,,200.0,SANTA CLARA,CA,PGAE,Northern,Los Esteros 230 kV,ACTIVE,active,storage,0,0,1
CORMORANT STORAGE,1552.0,Battery,,,250.0,SAN FRANCISCO,CA,PGAE,Northern,Martin 115 kV,ACTIVE,active,storage,0,0,1
JEWELFLOWER STORAGE,1553.0,Battery,,,350.0,SANTA CLARA,CA,PGAE,Northern,Metcalf 230 kV,ACTIVE,active,storage,0,0,1
NOOSA ENERGY STORAGE,1557.0,Battery,,,99.0,SAN JOAQUIN,CA,PGAE,Northern,Ripon 115 kV,ACTIVE,active,storage,0,0,1
DYNAMO SOLAR,1565.0,Solar,,,24.5,NAPA,CA,PGAE,Northern,Tulucay 60 kV,ACTIVE,active,solar,0,0,1
AIR STATION 1,1568.0,Solar,Battery,,40.0,KINGS,CA,PGAE,Fresno,Henrietta-Lemoore NAS 70 kV,ACTIVE,active,hybrid_solar_storage,0,0,1
KINGSROAD HYBRID SOLAR,1587.0,Battery,Solar,,100.0,KERN,CA,PGAE,Kern,Arco 230 kV,ACTIVE,active,hybrid_solar_storage,0,0,1
PELICANS JAW HYBRID SOLAR,1593.0,Battery,Solar,,500.0,KINGS,CA,PGAE,Fresno,Gates-Midway 230 kV Line,ACTIVE,active,hybrid_solar_storage,0,0,1
BUTTONBUSH SOLAR HYBRID ENERGY CENTER,1596.0,Battery,Solar,,800.0,KERN,CA,PGAE,Kern,Midway 500 kV,ACTIVE,active,hybrid_solar_storage,0,0,1
ARATINA SOLAR CENTER 2,1604.0,Battery,Solar,,200.0,KERN,CA,SCE,NOL,Kramer Substation 230kV,ACTIVE,active,hybrid_solar_storage,0,0,1
