source,sheet_outcome,pto,affected_pto,study_area,poi,tech_1,mw_1,tech_2,mw_2,tech_3,mw_3,mw_poi,status_raw
cluster14,intake_snapshot,PGE,,Kern,Gates - Midway Line,storage,307.0,solar,307.0,,,300.0,
cluster14,intake_snapshot,PGE,,Fresno,Gates Substation,storage,101.83,solar,102.1,,,100.0,
cluster14,intake_snapshot,PGE,,NGBA,Geyser #3 - Cloverdale Line,Steam Turbine Geothermal,61.0,,,,,53.0,
cluster14,intake_snapshot,PGE,,Fresno,Giffen Substation,solar,25.54,,,,,25.0,
cluster14,intake_snapshot,PGE,,NGBA,Glenn - Delevan Line,solar,257.0,,,,,250.0,
cluster14,intake_snapshot,PGE,,NGBA,Gold Hill - 8 Mile Line,storage,214.09,,,,,200.0,
cluster14,intake_snapshot,PGE,,GBA,Grant - Eastshore Line,storage,252.0,,,,,250.0,
cluster14,intake_snapshot,PGE,,Kern,Green Valley Substation,storage,200.0,,,,,200.0,
cluster14,intake_snapshot,PGE,,Kern,Green Valley Substation,storage,204.07,,,,,200.0,
cluster14,intake_snapshot,PGE,,NGBA,Greenleaf #1 Tap Line,storage,49.0,,,,,49.0,
cluster14,intake_snapshot,PGE,,NGBA,Greenleaf #2 Tap Line,storage,50.5,,,,,49.2,
cluster14,intake_snapshot,PGE,,Fresno,Gregg Substation,storage,150.0,solar,160.29,,,150.0,
cluster14,intake_snapshot,PGE,,Fresno,Gregg Substation,storage,360.198,,,,,350.0,
cluster14,intake_snapshot,PGE,,Fresno,Guernsey Substation,storage,60.0,solar,61.8,,,60.0,
cluster14,intake_snapshot,PGE,,Fresno,Helm Substation,storage,439.084,solar,439.084,,,425.0,
cluster14,intake_snapshot,PGE,,Fresno,Helm Substation,storage,200.0,solar,200.0,,,200.0,
cluster14,intake_snapshot,PGE,,NGBA,Herdlyn - Balfour Line,storage,100.0,solar,50.0,,,100.0,
cluster14,intake_snapshot,PGE,,Fresno,Huron Substation,storage,101.1,,,,,100.0,
cluster14,intake_snapshot,PGE,,NGBA,Ignacio Substation,storage,313.7932,,,,,300.0,
cluster14,intake_snapshot,PGE,,Fresno,Jacobs Corner Substation,storage,100.65,,,,,100.0,
cluster14,intake_snapshot,PGE,,Fresno,Kearney Substation,storage,204.07,,,,,200.0,
cluster14,intake_snapshot,PGE,,Kern,Kern Power Substation,storage,201.8,,,,,200.0,
cluster14,intake_snapshot,PGE,,Kern,Kern Power Substation,storage,114.264,,,,,110.0,
cluster14,intake_snapshot,PGE,,Kern,Kern Power Substation,storage,151.5,,,,,150.0,
cluster14,intake_snapshot,PGE,,NGBA,Konocti Substation,storage,40.4,,,,,40.0,
cluster14,intake_snapshot,PGE,,NGBA,Lakeville Substation,storage,300.0,,,,,300.0,
cluster14,intake_snapshot,PGE,,NGBA,Lakeville Substation,storage,102.2112,,,,,100.0,
cluster14,intake_snapshot,PGE,,NGBA,Lakeville - Tulucay Line,storage,252.0,,,,,250.0,
cluster14,intake_snapshot,PGE,,NGBA,Lambie Switching Station,storage,400.0,,,,,400.0,
cluster14,intake_snapshot,PGE,,Kern,Lamont Substation,storage,100.0,,,,,100.0,
cluster14,intake_snapshot,PGE,,Kern,Lamont Substation,storage,101.85577,solar,102.4167,,,100.0,
cluster14,intake_snapshot,PGE,,Kern,Lamont Substation,storage,100.9,,,,,100.0,
cluster14,intake_snapshot,PGE,,Kern,Lamont Substation,storage,76.2,,,,,75.0,
cluster14,intake_snapshot,PGE,,Fresno,Los Banos Substation,storage,307.0,solar,307.0,,,300.0,
cluster14,intake_snapshot,PGE,,Fresno,Le Grand Substation,storage,154.362,solar,154.362,,,150.0,
cluster14,intake_snapshot,PGE,,Fresno,Le Grand Substation,storage,150.0,solar,150.0,,,150.0,
