pto,affected_pto,area,total_mw_at_poi,tech_1,mw_t1,tech_2,mw_t2,tech_3,mw_t3,poi,voltage_kv,tech_1_norm,tech_2_norm,tech_3_norm,technology,net_mw
SDGE,,SDGE,300.0,Battery,300.0,,,,,Encina Substation,138.0,Battery,,,Battery,300.0
SDGE,,SDGE,150.0,Battery,150.0,,,,,ESCO Substation,69.0,Battery,,,Battery,150.0
SDGE,,SDGE,70.0,Battery,71.199,,,,,Scripps Substation,69.0,Battery,,,Battery,70.0
SDGE,,SDGE,80.0,Battery,81.5,,,,,Spring Valley Substation,69.0,Battery,,,Battery,80.0
SDGE,,SDGE,150.0,Battery,154.6,,,,,Border Substation,69.0,Battery,,,Battery,150.0
SDGE,,SDGE,800.0,Battery,823.85,Solar PV,823.85,,,Hoodoo Wash-Hassayampa line,500.0,Battery,Solar,,Hybrid (Solar+Storage),800.0
SDGE,,SDGE,300.0,Battery,308.2086,,,,,Suncrest Substation,230.0,Battery,,,Battery,300.0
SDGE,,SDGE,100.0,Battery,100.0,,,,,Otay Mesa Substation,230.0,Battery,,,Battery,100.0
SDGE,,SDGE,80.0,Solar PV,82.8,,,,,Boulevard East Substation,69.0,Solar,,,Solar,80.0
SDGE,,SDGE,200.0,Battery,206.31,,,,,Boulevard East Substation,138.0,Battery,,,Battery,200.0
SDGE,,SDGE,100.0,Battery,100.0,,,,,Border-Border Tap line,69.0,Battery,,,Battery,100.0
SDGE,,SDGE,150.0,Battery,150.0,,,,,Jamacha-Miguel line,69.0,Battery,,,Battery,150.0
SDGE,,SDGE,100.0,Battery,102.04,,,,,Otay Lake Substation,69.0,Battery,,,Battery,100.0
SDGE,,SDGE,300.0,Battery,300.0,,,,,Rancho Mission Viejo Substation,138.0,Battery,,,Battery,300.0
SDGE,,SDGE,400.0,Battery,400.0,,,,,Hassayampa-North Gila line,500.0,Battery,,,Battery,400.0
SDGE,,SDGE,400.0,Battery,400.0,,,,,Talega Substation,230.0,Battery,,,Battery,400.0
SDGE,,SDGE,50.0,Battery,51.208,,,,,Friars Substation,138.0,Battery,,,Battery,50.0
SDGE,,SDGE,150.0,Battery,150.0,,,,,Carrizo Gorge Switchyard,138.0,Battery,,,Battery,150.0
SDGE,,SDGE,300.0,Battery,300.0,Solar PV,300.0,,,Hoodoo Wash Substation,500.0,Battery,Solar,,Hybrid (Solar+Storage),300.0
SDGE,,SDGE,250.0,Battery,256.29,,,,,San Luis Rey Substation,230.0,Battery,,,Battery,250.0
SDGE,,SDGE,300.0,Battery,300.0,,,,,Trabuco Substation,138.0,Battery,,,Battery,300.0
SDGE,,SDGE,300.0,Solar PV,300.0,,,,,Imperial Valley Substation,230.0,Solar,,,Solar,300.0
SDGE,,SDGE,100.0,Battery,101.9,,,,,Chicarita Substation,138.0,Battery,,,Battery,100.0
SDGE,,SDGE,100.0,Battery,105.0,,,,,Ocean Ranch Substation,69.0,Battery,,,Battery,100.0
SDGE,,SDGE,250.0,Battery,261.0,,,,,Carlton Hills Substation,138.0,Battery,,,Battery,250.0
SDGE,,SDGE,600.0,Battery,632.5,,,,,Imperial Valley Substation,230.0,Battery,,,Battery,600.0
PGE,,Kern,130.0,Battery,65.55,Solar PV,131.68,,,Solar Switching Station,230.0,Battery,Solar,,Hybrid (Solar+Storage),130.0
PGE,,Kern,101.5,Battery,101.5,,,,,Hollister Line,115.0,Battery,,,Battery,101.5
PGE,,Kern,98.0,Battery,50.0,Solar PV,98.0,,,Wheeler Ridge Substation,70.0,Battery,Solar,,Hybrid (Solar+Storage),98.0
PGE,,Kern,82.9,Battery,83.0,,,,,7th Standard Substation,115.0,Battery,,,Battery,82.9
PGE,,Fresno,190.0,Solar PV,196.56,,,,,Alpaugh Substation,138.0,Solar,,,Solar,190.0
PGE,,Fresno,250.0,Battery,268.6432,Solar PV,270.0534,,,Alpaugh Substation,115.0,Battery,Solar,,Hybrid (Solar+Storage),250.0
PGE,,Fresno,150.0,Battery,153.5,Solar PV,153.5,,,Alpaugh Substation,115.0,Battery,Solar,,Hybrid (Solar+Storage),150.0
PGE,,NGBA,60.0,Battery,60.0,,,,,Apple Hill Substation,115.0,Battery,,,Battery,60.0
PGE,,NGBA,250.08,Battery,88.0,Solar PV,162.0,,,Rio Oso - Table Mountain Line,230.0,Battery,Solar,,Hybrid (Solar+Storage),250.08
PGE,,Kern,400.0,Battery,412.336,Solar PV,412.336,,,Arco Substation,230.0,Battery,Solar,,Hybrid (Solar+Storage),400.0
PGE,,Kern,150.0,Battery,150.0,Solar PV,150.0,,,Arco Substation,230.0,Battery,Solar,,Hybrid (Solar+Storage),150.0
PGE,,Kern,30.0,Battery,30.0,,,,,Arco - Carneras Line,70.0,Battery,,,Battery,30.0
PGE,,Kern,100.0,Battery,101.85577,,,,,Bear Mountain - Bear Mountain Tap Line,115.0,Battery,,,Battery,100.0
PGE,,GBA,400.0,Battery,407.85,Solar PV,407.85,,,Bellota Substation,230.0,Battery,Solar,,Hybrid (Solar+Storage),400.0
PGE,,NGBA,200.0,Battery,213.55,,,,,Bellota Substation,230.0,Battery,,,Battery,200.0
PGE,,NGBA,350.0,Battery,356.592,Solar PV,357.396,,,Bellota Substation,230.0,Battery,Solar,,Hybrid (Solar+Storage),350.0
PGE,,NGBA,300.0,Battery,315.96,,,,,Bellota Substation,230.0,Battery,,,Battery,300.0
PGE,,NGBA,250.0,Battery,257.72,Solar PV,257.72,,,Bellota Substation,115.0,Battery,Solar,,Hybrid (Solar+Storage),250.0
PGE,,GBA,100.0,Battery,102.6,,,,,Bellota Substation,115.0,Battery,,,Battery,100.0
PGE,,GBA,110.0,Solar PV,113.832,,,,,"Berranda ""C"" Tap Line",69.0,Solar,,,Solar,110.0
PGE,,NGBA,100.0,Battery,110.84,,,,,Birds Landing Substation,230.0,Battery,,,Battery,100.0
PGE,,Fresno,200.0,Battery,200.0,,,,,Borden Substation,230.0,Battery,,,Battery,200.0
PGE,,Fresno,200.0,Battery,200.0,Solar PV,200.0,,,Borden Substation,230.0,Battery,Solar,,Hybrid (Solar+Storage),200.0
PGE,,Kern,150.0,Battery,406.142,,,,,Caliente Switching Station,230.0,Battery,,,Battery,150.0
PGE,,Kern,60.0,Battery,30.22,Solar PV,60.61,,,California Flats Switching Station,230.0,Battery,Solar,,Hybrid (Solar+Storage),60.0
PGE,,Fresno,45.0,Battery,45.0,Solar PV,46.4,,,Cantua Substation,115.0,Battery,Solar,,Hybrid (Solar+Storage),45.0
PGE,,NGBA,20.0,Battery,20.0,,,,,Cloverdale Jct,60.0,Battery,,,Battery,20.0
PGE,,Kern,150.0,Battery,152.8,Solar PV,153.1,,,Coburn Substation,230.0,Battery,Solar,,Hybrid (Solar+Storage),150.0
PGE,,Kern,120.0,Battery,120.0,,,,,Coburn - Basic Energy Tap Line,60.0,Battery,,,Battery,120.0
PGE,,GBA,200.0,Battery,200.0,,,,,Contra Costa Substation,230.0,Battery,,,Battery,200.0
PGE,,GBA,300.0,Battery,307.878,,,,,Contra Costa - Contra Costa Power Plant Line,230.0,Battery,,,Battery,300.0
PGE,,GBA,250.0,Battery,256.29,,,,,Contra Costa Substation,230.0,Battery,,,Battery,250.0
PGE,,GBA,100.0,Battery,100.9,,,,,Cooley Landing Substation,66.0,Battery,,,Battery,100.0
PGE,,Fresno,85.0,Battery,87.5,Solar PV,87.5,,,Corcoran Substation,70.0,Battery,Solar,,Hybrid (Solar+Storage),85.0
PGE,,NGBA,100.0,Battery,102.672,,,,,Cottle Substation,230.0,Battery,,,Battery,100.0
PGE,,NGBA,75.0,Battery,19.75,Solar PV,88.0,,,Cottonwood - Burney Forest - Pit #1 Line,230.0,Battery,Solar,,Hybrid (Solar+Storage),75.0
PGE,,NGBA,140.0,Solar PV,142.6,,,,,Cottonwood - Logan Creek Line,230.0,Solar,,,Solar,140.0
PGE,,Kern,110.0,Battery,112.386,Solar PV,112.491,,,Crazy Horse Canyon - Hollister Line,115.0,Battery,Solar,,Hybrid (Solar+Storage),110.0
PGE,,Fresno,35.0,Battery,35.951,Solar PV,35.979,,,Crescent Switching Station,70.0,Battery,Solar,,Hybrid (Solar+Storage),35.0
PGE,,Non_PGE,110.0,Battery,111.7,,,,,Crows Landing Substation,69.0,Battery,,,Battery,110.0
PGE,,Kern,1500.0,Battery,756.065,Wind Turbine,1518.472,,,Diablo Canyon Switching Station,500.0,Battery,Wind,,Hybrid (Other),1500.0
PGE,,Kern,1000.0,Wind Turbine,1039.5,,,,,Diablo Canyon Switching Station,500.0,Wind,,,Wind,1000.0
PGE,,Kern,1000.0,Wind Turbine,1028.94,,,,,Diablo Canyon Switching Station,500.0,Wind,,,Wind,1000.0
PGE,,Kern,1400.0,Wind Turbine,1464.6,,,,,Diablo Canyon Switching Station,500.0,Wind,,,Wind,1400.0
PGE,,Kern,60.0,Wind Turbine,61.5,,,,,Divide - Cabrillo #1 Line,115.0,Wind,,,Wind,60.0
PGE,,GBA,62.0,Battery,62.6,,,,,Dumbarton Substation,115.0,Battery,,,Battery,62.0
PGE,,GBA,225.0,Battery,226.8,,,,,Dumbarton - Newark Line,115.0,Battery,,,Battery,225.0
PGE,,GBA,100.0,Battery,101.85577,,,,,Edes  Substation,115.0,Battery,,,Battery,100.0
