Project Name,Queue Position,"Interconnection Request
Receive Date",Queue Date,Application Status,"Study
Process",Type-1,Type-2,Type-3,Fuel-1,Fuel-2,Fuel-3,MW-1,MW-2,MW-3,Net MWs to Grid,"Full Capacity, Partial or Energy Only (FC/P/EO)",TPD Allocation Percentage,Off-Peak Deliverability and Economic Only,TPD Allocation Group,County,State,Utility,PTO Study Region,Station or Transmission Line,"Proposed
On-line Date
(as filed with IR)","Current
On-line Date",Suspension Status,Feasibility Study or Supplemental Review,"System Impact Study or 
Phase I Cluster Study","Facilities Study (FAS) or 
Phase II Cluster Study","Optional Study
(OS)","Interconnection Agreement 
Status",status,"Actual
On-line Date",Project Name - Confidential,Withdrawn Date,Reason for Withdrawal
IMPERIAL VALLEY WEST,608,2010-02-01 00:00:00,2010-02-01 08:00:00,COMPLETED,C02,Photovoltaic,,,Solar,,,150,,,150,Full Capacity,,Off-Peak Deliverability,,IMPERIAL,CA,SDGE,,Imperial Valley Substation 230 kV,2013-05-01 07:00:00,,,,Complete,Complete,,Executed,completed,2016-01-21 08:00:00,,,
MARICOPA WEST SOLAR PV (FKA COPUS SOLAR ONE),620,2010-04-26 00:00:00,2010-04-26 07:00:00,COMPLETED,SGIP,Photovoltaic,,,Solar,,,20,,,20,Full Capacity,,Off-Peak Deliverability,,KERN,CA,PGAE,,Copus Road Sub 70kV bus,2014-12-31 08:00:00,,,,Facilities Study,SGIA,,Executed,completed,2015-12-12 08:00:00,,,
ORION SOLAR I (FKA: FRV ORION KERN SOLAR),621A,2010-05-05 00:00:00,2010-05-05 07:00:00,COMPLETED,SGIP,Photovoltaic,,,Solar,,,20,,,20,Full Capacity,,Off-Peak Deliverability,,KERN,CA,PGAE,,Weedpatch - San Bernard 70 KV line,2012-04-02 07:00:00,,,,Facilities Study,SGIA,,Executed,completed,2014-06-26 07:00:00,,,
ADOBE SOLAR (FKA FRV ADOBE SOLAR),622B,2010-05-05 00:00:00,2010-05-05 07:00:00,COMPLETED,SGIP,Photovoltaic,,,Solar,,,20,,,20,Full Capacity,,Off-Peak Deliverability,,KERN,CA,PGAE,,Wheeler Ridge-Lamont 115 kv,2012-03-31 07:00:00,,,,Facilities Study,SGIA,,Executed,completed,2014-05-21 07:00:00,,,
ADAMS EAST,632,2010-05-25 00:00:00,2010-05-25 07:00:00,COMPLETED,SGIP,Photovoltaic,,,Solar,,,19,,,19,Full Capacity,,Off-Peak Deliverability,Group A,FRESNO,CA,PGAE,,Wesix 70kV Tap,2012-12-31 08:00:00,,,,Facilities Study,SGIA,,Executed,completed,2014-12-13 08:00:00,,,
SUMMER WHEAT SOLAR FARM,632B,2010-06-01 00:00:00,2010-06-01 07:00:00,COMPLETED,SGIP-TC,Photovoltaic,,,Solar,,,20,,,18.5,Full Capacity,,Off-Peak Deliverability,,FRESNO,CA,PGAE,,Stroud switching station 70kV,2012-12-01 08:00:00,,,,Complete,Complete,,Executed,completed,2018-10-11 07:00:00,,,
WESTLANDS SOLAR FARM PV1,633,2010-06-02 00:00:00,2010-06-02 07:00:00,COMPLETED,SGIP,Photovoltaic,,,Solar,,,18,,,18,Full Capacity,,Off-Peak Deliverability,Group A,FRESNO,CA,PGAE,,Gates-Coalinga 70 kV Line #1,2012-11-30 08:00:00,,,,Facilities Study,SGIA,,Executed,completed,2014-02-14 08:00:00,,,
KANSAS,636,2010-07-02 00:00:00,2010-07-06 07:00:00,COMPLETED,SGIP,Photovoltaic,,,Solar,,,20,,,20,Full Capacity,,Off-Peak Deliverability,,KINGS,CA,PGAE,,Leprino Food (Lemoore) 115 kV Tap Line,2012-12-31 08:00:00,,,,Facilities Study,SGIA,,Executed,completed,2014-12-18 08:00:00,,,
KANSAS SOUTH,637,2010-07-02 00:00:00,2010-07-06 07:00:00,COMPLETED,SGIP,Photovoltaic,,,Solar,,,20,,,20,Full Capacity,,Off-Peak Deliverability,Group A,KINGS,CA,PGAE,,Henrietta-Jacobs Corner 70kV,2012-12-31 08:00:00,,,,Facilities Study,SGIA,,Executed,completed,2013-06-06 07:00:00,,,
DESERT HARVEST ,643AE,2010-07-30 00:00:00,2010-07-31 07:00:00,COMPLETED,C03,Photovoltaic,Storage,,Solar,Battery,,150,35,,150,Partial Capacity,65,Off-Peak Deliverability,,RIVERSIDE,CA,SCE,Eastern,Red Bluff Sub 230kV Bus,2014-01-01 08:00:00,,,,Complete,Complete,,Executed,completed,2020-12-11 08:00:00,,,
