Project Name,Queue Position,"Interconnection Request
Receive Date",Queue Date,Application Status,"Study
Process",Type-1,Type-2,Type-3,Fuel-1,Fuel-2,Fuel-3,MW-1,MW-2,MW-3,Net MWs to Grid,"Full Capacity, Partial or Energy Only (FC/P/EO)",TPD Allocation Percentage,Off-Peak Deliverability and Economic Only,TPD Allocation Group,County,State,Utility,PTO Study Region,Station or Transmission Line,"Proposed
On-line Date
(as filed with IR)","Current
On-line Date",Suspension Status,Feasibility Study or Supplemental Review,"System Impact Study or 
Phase I Cluster Study","Facilities Study (FAS) or 
Phase II Cluster Study","Optional Study
(OS)","Interconnection Agreement 
Status",status,"Actual
On-line Date",Project Name - Confidential,Withdrawn Date,Reason for Withdrawal
,1735,2020-04-15 00:00:00,2020-04-15 07:00:00,WITHDRAWN,C13,Storage,,,Battery,,,30.8,,,30,Full Capacity,,,,SANTA BARBARA,CA,PGAE,,Santa Maria Cogen Tap 115kV Line,2023-07-01 07:00:00,2023-07-01 07:00:00,,,,,,,withdrawn,,HANSON ENERGY CENTER,2020-07-21 07:00:00,IC Request
,1737,2020-04-15 00:00:00,2020-04-15 07:00:00,WITHDRAWN,C13,Storage,Photovoltaic,,Battery,Solar,,179.4,359.352,,350,Full Capacity,,Off-Peak Deliverability,,KERN,CA,PGAE,,Midway Substation 230kV,2025-10-30 07:00:00,2025-10-30 07:00:00,,,,,,,withdrawn,,KAIROS HYBRID,2021-05-06 07:00:00,IC Request
,1738,2020-04-01 00:00:00,2020-04-15 07:00:00,WITHDRAWN,C13,Wind Turbine,,,Wind Turbine,,,1456,,,1400,Full Capacity,,Off-Peak Deliverability,,SAN LUIS OBISPO,CA,PGAE,,Diablo Canyon Switching Station 500kV,2027-03-01 08:00:00,2027-03-01 08:00:00,,,,,,,withdrawn,,LIGHTHOUSE WIND,2021-03-25 07:00:00,IC Request
,1739,2020-04-15 00:00:00,2020-04-15 07:00:00,WITHDRAWN,C13,Storage,Other,,Battery,Other,,108,520,,500,Partial Capacity,,Off-Peak Deliverability,,SAN LUIS OBISPO,CA,PGAE,,Morro Bay 230 kV,2023-06-01 07:00:00,2031-01-24 08:00:00,,,Complete,Complete,,Terminated,withdrawn,,PECHO ENERGY STORAGE,2025-01-30 08:00:00,IC Request
,1741,2020-04-08 00:00:00,2020-04-15 07:00:00,WITHDRAWN,C13,Storage,Photovoltaic,,Battery,Solar,,103.95,204.12,,200,Full Capacity,,Off-Peak Deliverability,,SAN LUIS OBISPO,CA,PGAE,,Morro Bay Solar Sw Sta #2 230kV,2023-12-01 08:00:00,2023-12-01 08:00:00,,,Complete,,,,withdrawn,,ROBIN 2,2021-05-03 07:00:00,IC Request
,1742,2020-04-08 00:00:00,2020-04-15 07:00:00,WITHDRAWN,C13,Storage,Photovoltaic,,Battery,Solar,,79.2,155.925,,150,Full Capacity,,Off-Peak Deliverability,,SAN LUIS OBISPO,CA,PGAE,,Temblor - San Luis Obispo 115kV line,2023-12-01 08:00:00,2023-12-01 08:00:00,,,,,,,withdrawn,,ROBIN 3,2021-04-02 07:00:00,
,1743,2020-04-02 00:00:00,2020-04-15 07:00:00,WITHDRAWN,C13,Storage,Photovoltaic,,Battery,Solar,,51.401,103.456,,100,Full Capacity,,Off-Peak Deliverability,,KERN,CA,PGAE,,Old River Substation 70kV,2023-10-31 07:00:00,2023-10-31 07:00:00,,,,,,,withdrawn,,SAGRARIO,2021-04-12 07:00:00,IC Request
,1746,2020-04-10 00:00:00,2020-04-15 07:00:00,WITHDRAWN,C13,Photovoltaic,Storage,,Solar,Battery,,123.59655,123.59655,,120,Full Capacity,,Off-Peak Deliverability,,KERN,CA,PGAE,,Tupman Substation 115kV,2023-12-01 08:00:00,2023-12-01 08:00:00,,,,,,,withdrawn,,VERBENA,2021-04-13 07:00:00,IC Request
,1747,2020-04-08 00:00:00,2020-04-15 07:00:00,WITHDRAWN,C13,Wind Turbine,Storage,,Wind Turbine,Battery,,1568,319.35,,1499.94,Full Capacity,,Off-Peak Deliverability,,SAN LUIS OBISPO,CA,PGAE,,Diablo-Gates 500kV line,2027-04-13 07:00:00,2027-04-13 07:00:00,,,,,,,withdrawn,,VINSON ENERGY,2021-04-09 07:00:00,
,1748,2020-04-15 00:00:00,2020-04-15 07:00:00,WITHDRAWN,C13,Wind Turbine,,,Wind Turbine,,,1021.125,,,1000,Full Capacity,,Off-Peak Deliverability,,SAN LUIS OBISPO,CA,PGAE,,Diablo Canyon - Morro Bay 230 kV and Diablo Canyon - Mesa 230 kV Lines,2027-04-07 07:00:00,2027-04-07 07:00:00,,,Complete,,,,withdrawn,,WESTERN COAST WIND 1,2021-03-30 07:00:00,IC Request
,1749,2020-04-13 00:00:00,2020-04-15 07:00:00,WITHDRAWN,C13,Storage,,,Battery,,,75,,,299.65,Energy Only,,Off-Peak Deliverability,,SAN LUIS OBISPO,CA,PGAE,,Caliente 230 kV,2024-12-31 08:00:00,2031-04-27 07:00:00,,,Complete,Complete,,In Progress,withdrawn,,WHALE ROCK ENERGY,2025-06-16 07:00:00,IC Request
,1752,2020-04-15 00:00:00,2020-04-15 07:00:00,WITHDRAWN,C13,Storage,Photovoltaic,,Battery,Solar,,1572.2,2072.52,,2000,Full Capacity,,Off-Peak Deliverability,,MARICOPA,AZ,DCRT,,Delaney Substation 500kV,2025-02-05 08:00:00,2025-02-05 08:00:00,,,Complete,,,,withdrawn,,ARIZONA A1,2021-05-03 07:00:00,IC Request
,1753,2020-04-02 00:00:00,2020-04-15 07:00:00,WITHDRAWN,C13,Photovoltaic,Storage,,Solar,Battery,,526.68,415.96,,500,Full Capacity,,Off-Peak Deliverability,,MARICOPA,AZ,DCRT,,Delaney - Colorado River 500kV line,2024-12-01 08:00:00,2024-12-01 08:00:00,,,,,,,withdrawn,,LA PAZ,2021-03-18 07:00:00,IC Request
,1754,2020-04-11 00:00:00,2020-04-15 07:00:00,WITHDRAWN,C13,Photovoltaic,Storage,,Solar,Battery,,307.188,306.18,,300,Full Capacity,,Off-Peak Deliverability,,MARICOPA,AZ,DCRT,,Delaney Substation 500kV,2023-10-31 07:00:00,2023-10-31 07:00:00,,,Complete,,,,withdrawn,,PAPAGO,2021-03-19 07:00:00,IC Request
,1755,2020-04-06 00:00:00,2020-04-15 07:00:00,WITHDRAWN,C13,Storage,Photovoltaic,,Battery,Solar,,100,200,,200,Full Capacity,,Off-Peak Deliverability,,RIVERSIDE,CA,SCE,,Colorado River Substation 230kV,2023-12-01 08:00:00,2023-12-01 08:00:00,,,,,,,withdrawn,,AMETHYST SOLAR,2020-07-06 07:00:00,IC Request
,1756,2020-04-09 00:00:00,2020-04-15 07:00:00,WITHDRAWN,C13,Storage,Wind Turbine,Photovoltaic,Battery,Wind Turbine,Solar,205.92,207.2,206.59,200,Full Capacity,,Off-Peak Deliverability,,RIVERSIDE,CA,SCE,,BLYTHE SUBSTATION 161kV,2024-12-15 08:00:00,2024-12-15 08:00:00,,,,,,,withdrawn,,ASTRA,2021-03-23 07:00:00,IC Request
,1759,2020-04-15 00:00:00,2020-04-15 07:00:00,WITHDRAWN,C13,Storage,Storage,,Pumped-Storage hydro,Battery,,1407,1400,,1400,Energy Only,,,,RIVERSIDE,CA,SCE,,Red Bluff Substation 500kV,2026-12-01 08:00:00,2026-12-01 08:00:00,,,Complete,Complete,,,withdrawn,,ETERNAL PUMPED STORAGE,2023-12-21 08:00:00,Failure to Cure Deficiency
,1760,2020-04-11 00:00:00,2020-04-15 07:00:00,WITHDRAWN,C13,Wind Turbine,Storage,Photovoltaic,Wind Turbine,Battery,Solar,207.2,205.92,206.59,200,Full Capacity,,Off-Peak Deliverability,,RIVERSIDE,CA,SCE,,DEVERS SUBSTATION 220kV,2024-12-15 08:00:00,2024-12-15 08:00:00,,,Complete,,,,withdrawn,,FORTUNA,2021-03-24 07:00:00,IC Request
,1762,2020-04-13 00:00:00,2020-04-15 07:00:00,WITHDRAWN,C13,Storage,,,Battery,,,510,,,500,Full Capacity,,Off-Peak Deliverability,,RIVERSIDE,CA,SCE,,Devers Substation 230kV,2022-11-15 08:00:00,2022-11-15 08:00:00,,,Complete,,,,withdrawn,,GRISEDALE STORAGE 1,2021-05-10 07:00:00,Failure to Cure Deficiency
,1763,2020-04-09 00:00:00,2020-04-15 07:00:00,WITHDRAWN,C13,Storage,Photovoltaic,Wind Turbine,Battery,Solar,Wind Turbine,204.16,203.76,207.2,200,Energy Only,,Off-Peak Deliverability,,RIVERSIDE,CA,SCE,,DEVERS SUBSTATION 220kV,2024-12-15 08:00:00,2029-01-31 08:00:00,,,Complete,Complete,,,withdrawn,,PORTA,2025-11-20 08:00:00,IC Request
,1765,2020-04-14 00:00:00,2020-04-15 07:00:00,WITHDRAWN,C13,Storage,,,Battery,,,408.07,,,400,Full Capacity,,,,LOS ANGELES,CA,SCE,,Rio Hondo Substation 220kV,2023-06-01 07:00:00,2023-06-01 07:00:00,,,,,,,withdrawn,,BULLDOG ENERGY STORAGE,2021-03-12 08:00:00,IC Request
,1767,2020-04-02 00:00:00,2020-04-15 07:00:00,WITHDRAWN,C13,Storage,,,Battery,,,152.5,,,150,Full Capacity,,,,LOS ANGELES,CA,SCE,,El Nido Substation 230kV,2023-12-31 08:00:00,2023-12-31 08:00:00,,,,,,,withdrawn,,HAMMOCK STORAGE,2020-07-01 07:00:00,IC Request
,1769,2020-04-07 00:00:00,2020-04-15 07:00:00,WITHDRAWN,C13,Storage,,,Battery,,,300,,,300,Full Capacity,,,,LOS ANGELES,CA,SCE,,Rio Hondo Substation 230kV,2024-12-01 08:00:00,2024-12-01 08:00:00,,,,,,,withdrawn,,SPEEDWAY ESS 2,2020-07-06 07:00:00,IC Request
,1770,2020-04-07 00:00:00,2020-04-15 07:00:00,WITHDRAWN,C13,Storage,,,Battery,,,300,,,300,Full Capacity,,Off-Peak Deliverability,,SAN BERNARDINO,CA,SCE,,Mira Loma Substation 230kV,2025-12-01 08:00:00,2025-12-01 08:00:00,,,Complete,,,,withdrawn,,SWAN ESS,2021-04-26 07:00:00,IC Request
,1771,2020-04-13 00:00:00,2020-04-15 07:00:00,WITHDRAWN,C13,Storage,Photovoltaic,,Battery,Solar,,508.56,508.56,,500,Full Capacity,,Off-Peak Deliverability,,SAN BERNARDINO,CA,SCE,,Kramer Junction Substation 230kV,2024-11-30 08:00:00,2024-11-30 08:00:00,,,,,,,withdrawn,,LEO WOLF ENERGY CENTER,2020-09-08 07:00:00,
,1772,2020-04-15 00:00:00,2020-04-15 07:00:00,WITHDRAWN,C13,Storage,Photovoltaic,,Battery,Solar,,156.48,156.48,,150,Full Capacity,,Off-Peak Deliverability,,SAN BERNARDINO,CA,SCE,,Kramer Junction Substation 115kV,2022-11-30 08:00:00,2022-11-30 08:00:00,,,,,,,withdrawn,,LUZEN SOLAR ENERGY CENTER,2020-06-30 07:00:00,IC Request
,1773,2020-04-14 00:00:00,2020-04-15 07:00:00,WITHDRAWN,C13,Photovoltaic,Storage,,Solar,Battery,,78.378,78.378,,75,Full Capacity,,Off-Peak Deliverability,,KERN,CA,SCE,,Kramer-Inyokern-Randsburg #1 115kV line,2023-12-31 08:00:00,2023-12-31 08:00:00,,,,,,,withdrawn,,OXFORD,2020-06-30 07:00:00,IC Request
,1776,2020-04-11 00:00:00,2020-04-15 07:00:00,WITHDRAWN,C13,Wind Turbine,Photovoltaic,Storage,Wind Turbine,Solar,Battery,212.18,206.59,204.16,200,Energy Only,,Off-Peak Deliverability,,SAN BERNARDINO,CA,SCE,,COOLWATER SUBSTATION 115kV,2024-12-15 08:00:00,2027-10-01 07:00:00,,,Complete,Complete,,Executed,withdrawn,,VENTOSO,2025-11-14 08:00:00,IC Request
,1777,2020-04-09 00:00:00,2020-04-15 07:00:00,WITHDRAWN,C13,Photovoltaic,Storage,,Solar,Battery,,152.4,75,,150,Full Capacity,,Off-Peak Deliverability,,KERN,CA,SCE,,Highwind Substation 220kV,2023-11-30 08:00:00,2023-11-30 08:00:00,,,,,,,withdrawn,,ALLEGRO HYBRID SOLAR,2020-07-08 07:00:00,IC Request
,1778,2020-04-14 00:00:00,2020-04-15 07:00:00,WITHDRAWN,C13,Wind Turbine,,,Wind Turbine,,,257.6,,,250,Full Capacity,,Off-Peak Deliverability,,KERN,CA,SCE,,Windhub Substation 230kV,2023-10-15 07:00:00,2025-12-15 08:00:00,,,Complete,,,,withdrawn,,ALTA 20 WIND,2021-03-10 08:00:00,IC Request
,1780,2020-04-10 00:00:00,2020-04-15 07:00:00,WITHDRAWN,C13,Storage,,,Battery,,,75,,,75,Full Capacity,,,,LOS ANGELES,CA,SCE,,Antelope Substation 66kV,2022-07-01 07:00:00,2022-07-01 07:00:00,,,,,,,withdrawn,,BOBCAT ENERGY STORAGE,2021-03-05 08:00:00,IC Request
,1781,2020-04-15 00:00:00,2020-04-15 07:00:00,WITHDRAWN,C13,Wind Turbine,,,Wind Turbine,,,771.75,,,750,Full Capacity,,Off-Peak Deliverability,,SANTA BARBARA,CA,SCE,,Goleta Substation 230kV,2027-04-07 07:00:00,2027-04-07 07:00:00,,,,,,,withdrawn,,CENTRAL COAST WIND 1,2020-07-07 07:00:00,IC Request
,1785,2020-04-06 00:00:00,2020-04-15 07:00:00,WITHDRAWN,C13,Wind Turbine,,,Wind Turbine,,,100,,,100,Full Capacity,,Off-Peak Deliverability,,KERN,CA,SCE,,Whirlwind Substation 230kV,2024-12-01 08:00:00,2024-12-01 08:00:00,,,,,,,withdrawn,,KEYHOLE WIND 2,2020-06-25 07:00:00,IC Request
,1786,2020-04-02 00:00:00,2020-04-15 07:00:00,WITHDRAWN,C13,Storage,Photovoltaic,,Battery,Solar,,405.8,405.8,,400,Full Capacity,,Off-Peak Deliverability,,KERN,CA,SCE,,Windhub Substation 230kV,2024-09-30 07:00:00,2024-09-30 07:00:00,,,,,,,withdrawn,,LONGHORN 1,2021-03-11 08:00:00,IC Request
,1787,2020-04-11 00:00:00,2020-04-15 07:00:00,WITHDRAWN,C13,Storage,Photovoltaic,,Battery,Solar,,122.512,464.42,,460,Full Capacity,,Off-Peak Deliverability,,TULARE,CA,SCE,,Springville Substation 230kV,2024-04-15 07:00:00,2024-04-15 07:00:00,,,Complete,,,,withdrawn,,LYCKA SOLAR,2021-03-18 07:00:00,IC Request
,1788,2020-04-06 00:00:00,2020-04-15 07:00:00,WITHDRAWN,C13,Photovoltaic,Storage,,Solar,Battery,,400,200,,400,Full Capacity,,Off-Peak Deliverability,,KERN,CA,SCE,,Whirlwind Substation 230 kV,2024-12-01 08:00:00,2024-12-01 08:00:00,,,Complete,,,,withdrawn,,METEORITE SOLAR,2021-04-26 07:00:00,IC Request
,1793,2020-04-11 00:00:00,2020-04-15 07:00:00,WITHDRAWN,C13,Storage,Wind Turbine,Photovoltaic,Battery,Wind Turbine,Solar,203.94,207.2,208.08,200,Full Capacity,,Off-Peak Deliverability,,KERN,CA,SCE,,HIGHWIND SUBSTATION 230kV,2024-12-15 08:00:00,2024-12-15 08:00:00,,,Complete,,,,withdrawn,,VALOREM,2021-05-10 07:00:00,Failure to Cure Deficiency
,1794,2020-04-02 00:00:00,2020-04-15 07:00:00,WITHDRAWN,C13,Storage,Photovoltaic,,Battery,Solar,,305.2,305.2,,300,Full Capacity,,Off-Peak Deliverability,,ROSAMOND,CA,SCE,,WhirlWind Substation 230kV,2024-09-30 07:00:00,2024-09-30 07:00:00,,,,,,,withdrawn,,VENADO VALLEY 1,2021-03-12 08:00:00,IC Request
,1797,2020-04-06 00:00:00,2020-04-15 07:00:00,WITHDRAWN,C13,Photovoltaic,Storage,,Solar,Battery,,300,150,,300,Full Capacity,,Off-Peak Deliverability,,CLARK/NYE,NV,GLW,,Innovation Substation 230kV,2024-12-01 08:00:00,2024-12-01 08:00:00,,,Complete,,,,withdrawn,,BONANZA SOLAR 2,2021-04-26 07:00:00,IC Request
,1802,2020-04-02 00:00:00,2020-04-15 07:00:00,WITHDRAWN,C13,Storage,,,Battery,,,20.8,,,20,Energy Only,,,,SAN DIEGO,CA,SDGE,,Otay Substation 69 kV,2023-12-31 08:00:00,2024-12-08 08:00:00,,,Complete,Complete,,,withdrawn,,AMPCHAMP STORAGE,2023-05-05 07:00:00,IC Request
,1803,2020-04-15 00:00:00,2020-04-15 07:00:00,WITHDRAWN,C13,Storage,,,Battery,,,81.375,,,80,Full Capacity,,,,SAN DIEGO,CA,SDGE,,Loop Loveland - Los Coches 69kV line,2025-10-30 07:00:00,2025-10-30 07:00:00,,,,,,,withdrawn,,BLUEGILL STORAGE,2021-03-09 08:00:00,IC Request
,1804,2020-04-13 00:00:00,2020-04-15 07:00:00,WITHDRAWN,C13,Wind Turbine,Storage,,Wind Turbine,Battery,,205.8,205,,400,Full Capacity,,Off-Peak Deliverability,,SAN DIEGO,CA,SDGE,,New Switchyard to loop the ECO-Miguel 500 kV Line,2023-12-01 08:00:00,2023-12-01 08:00:00,,,,,,,withdrawn,,BOULDER OAKS HYBRID 2,2021-03-10 08:00:00,IC Request
,1805,2020-04-14 00:00:00,2020-04-15 07:00:00,WITHDRAWN,C13,Storage,,,Battery,,,75,,,75,Full Capacity,,,,SAN DIEGO,CA,SDGE,,Miramar-Scripps 69kV line,2022-06-01 07:00:00,2022-06-01 07:00:00,,,,,,,withdrawn,,BRADSHAW ENERGY STORAGE,2021-03-16 07:00:00,IC Request
,1807,2020-04-10 00:00:00,2020-04-15 07:00:00,WITHDRAWN,C13,Storage,,,Battery,,,154.14048,,,150,Full Capacity,,,,SAN DIEGO,CA,SDGE,,Eastgate Substation 69kV,2023-10-15 07:00:00,2023-10-15 07:00:00,,,,,,,withdrawn,,CARROLL CANYON ENERGY STORAGE,2021-03-10 08:00:00,IC Request
,1808,2020-04-14 00:00:00,2020-04-15 07:00:00,WITHDRAWN,C13,Storage,,,Battery,,,101.9,,,101.1,Full Capacity,,,,SAN DIEGO,CA,SDGE,,Shadowridge Substation 138kV,2023-07-15 07:00:00,2023-07-15 07:00:00,,,,,,,withdrawn,,COASTWOOD ENERGY STORAGE,2021-03-15 07:00:00,IC Request
,1809,2020-04-14 00:00:00,2020-04-15 07:00:00,WITHDRAWN,C13,Storage,,,Battery,,,30,,,30,Full Capacity,,,,SAN DIEGO,CA,SDGE,,Borrego Substation 69kV,2022-07-01 07:00:00,2022-07-01 07:00:00,,,,,,,withdrawn,,CUCKOO ENERGY STORAGE,2020-07-03 07:00:00,IC Request
,1811,2020-04-02 00:00:00,2020-04-15 07:00:00,WITHDRAWN,C13,Storage,,,Battery,,,101.9,,,100,Full Capacity,,,,SAN DIEGO,CA,SDGE,,Los Coches Substation 138 kV,2023-12-31 08:00:00,2024-12-08 08:00:00,,,Complete,Complete,,In Progress,withdrawn,,DUCK PILOT STORAGE,2023-04-20 07:00:00,IC Request
,1813,2020-04-07 00:00:00,2020-04-15 07:00:00,WITHDRAWN,C13,Storage,,,Battery,,,300,,,300,Full Capacity,,,,SAN DIEGO,CA,SDGE,,Bay Boulevard 230kV,2024-12-01 08:00:00,2024-12-01 08:00:00,,,,,,,withdrawn,,GYPSY ESS 2,2020-07-06 07:00:00,
,1814,2020-04-01 00:00:00,2020-04-15 07:00:00,WITHDRAWN,C13,Storage,,,Battery,,,160,,,160,Energy Only,,,,SAN DIEGO,CA,,,Encina Substation 138 kV,2023-03-31 07:00:00,2024-02-08 08:00:00,,,Complete,Complete,,,withdrawn,,HEDIONDA ENERGY STORAGE,2025-04-17 07:00:00,IC Request
,1815,2020-03-31 00:00:00,2020-04-15 07:00:00,WITHDRAWN,C13,Storage,,,Battery,,,103.275,,,100,Partial Capacity,,,,SAN DIEGO,CA,SDGE,,Creelman Substation 69 kV,2023-06-01 07:00:00,2024-12-08 08:00:00,,,Complete,Complete,,,withdrawn,,HINTON ENERGY STORAGE,2024-03-11 07:00:00,Failure to Cure Deficiency
,1816,2020-04-09 00:00:00,2020-04-15 07:00:00,WITHDRAWN,C13,Combined Cycle,,,Natural Gas,,,26.37,,,26.37,Full Capacity,,,,SAN DIEGO,CA,SDGE,,Otay Mesa Substation 230kV,2022-05-01 07:00:00,2022-05-01 07:00:00,,,,,,,withdrawn,,OTAY MESA ENERGY CENTER EXPANSION,2021-03-17 07:00:00,IC Request
,1817,2020-04-01 00:00:00,2020-04-15 07:00:00,WITHDRAWN,C13,Photovoltaic,Storage,,Solar,Battery,,33.5,202.23,,200,Full Capacity,,Off-Peak Deliverability,,SAN DIEGO,CA,SDGE,,Oceanside Tap - Stuart Tap 69kV (TL690C ),2022-06-20 07:00:00,2022-06-20 07:00:00,,,Complete,,,,withdrawn,,POWWOW,2021-05-10 07:00:00,Failure to Cure Deficiency
,1819,2020-04-14 00:00:00,2020-04-15 07:00:00,WITHDRAWN,C13,Storage,,,Battery,,,82.6,,,80,Full Capacity,,,,SAN DIEGO,CA,SDGE,,Border-Salt Creek 69kV line,2023-09-01 07:00:00,2023-09-01 07:00:00,,,,,,,withdrawn,,SANYO AVE STORAGE 1,2020-07-27 07:00:00,Failure to Cure Deficiency
,1822,2020-04-02 00:00:00,2020-04-15 07:00:00,WITHDRAWN,C13,Photovoltaic,Storage,,Solar,Battery,,225.04,225.04,,215,Energy Only,,Off-Peak Deliverability,,MARICOPA,AZ,SDGE,,Hassayampa Common Bus 500 kV ,2021-12-31 08:00:00,2024-06-01 07:00:00,,,Complete,Complete,,,withdrawn,,SUN STREAMS 4,2024-04-08 07:00:00,Failure to Cure Deficiency
,1823,2020-04-02 00:00:00,2020-04-15 07:00:00,WITHDRAWN,C13,Storage,Photovoltaic,,Battery,Solar,,473.76,473.76,,450,Energy Only,,Off-Peak Deliverability,,MARICOPA,AZ,SDGE,,Hassayampa Common Bus 500 kV ,2023-06-30 07:00:00,2025-06-01 07:00:00,,,Complete,Complete,,,withdrawn,,SUN STREAMS 5,2024-06-10 07:00:00,IC Request
,1825,2020-04-14 00:00:00,2020-04-15 07:00:00,WITHDRAWN,C13,Storage,,,Battery,,,101.9,,,101.1,Energy Only,,,,SAN DIEGO,CA,SDGE,,Ocean Ranch Substation 69 kV,2023-07-15 07:00:00,2024-11-09 08:00:00,,,Complete,Complete,,,withdrawn,,VIKING ENERGY STORAGE,2024-01-10 08:00:00,Failure to Cure Deficiency
,1826,2020-04-02 00:00:00,2020-04-15 07:00:00,WITHDRAWN,C13,Storage,Photovoltaic,,Battery,Solar,,252.6,252.6,,250,Full Capacity,,Off-Peak Deliverability,,MARICOPA,AZ,SDGE,,Hassayampa Switchyard Common Bus 500kV,2024-09-30 07:00:00,2024-09-30 07:00:00,,,,,,,withdrawn,,VULCAN 2,2020-07-06 07:00:00,IC Request
,1827,2020-04-05 00:00:00,2020-04-15 07:00:00,WITHDRAWN,C13,Storage,,,Battery,,,425.1,,,400,Full Capacity,,,,IMPERIAL,CA,SDGE,,Imperial Valley Substation 230kV,2024-07-01 07:00:00,2024-07-01 07:00:00,,,,,,,withdrawn,,BIG HORN ENERGY STORAGE,2024-02-21 08:00:00,IC Request
,1828,2019-12-24 00:00:00,2020-07-14 07:00:00,WITHDRAWN,FT,Storage,,,Battery,,,5,,,5,Energy Only,,,,FRESNO,CA,PGAE,,Panoche 115 kV,2021-04-01 07:00:00,2021-04-01 07:00:00,,,,,,,withdrawn,,"WELLHEAD POWER PANOCHE, LLC",2025-08-18 07:00:00,IC Request
,1830,2020-10-26 00:00:00,2020-12-21 08:00:00,WITHDRAWN,ISP,Storage,,,Battery,,,55.65,,,55,Full Capacity,,,,ALAMEDA,CA,PGAE,,Oakland C Sub via Oakland C-Turbine 115 kV Line,2022-05-01 07:00:00,2024-01-01 08:00:00,,,Complete,Complete,,,withdrawn,,OAKLAND ES UNIT 3,2023-12-05 08:00:00,
,1831,2020-12-08 00:00:00,2021-02-26 08:00:00,WITHDRAWN,C14,Storage,,,Battery,,,405.4,,,400,Full Capacity,,,,SAN LUIS OBISPO,CA,PGAE,,Morro Bay 230 kV,2024-11-01 07:00:00,2032-03-01 08:00:00,,,Complete,Complete,,,withdrawn,,MIDLAND ES,2025-09-24 07:00:00,Failure to Cure Deficiency
,1832,2021-02-08 00:00:00,2021-04-15 07:00:00,WITHDRAWN,C14,Storage,,,Battery,,,51.375,,,50,Full Capacity,,,,SAN DIEGO,CA,SDGE,,Escondido Substation 69 kV,2023-05-30 07:00:00,2026-07-05 07:00:00,,,Complete,Complete,,,withdrawn,,GOAL LINE RELIABILITY,2024-07-08 07:00:00,IC Request
,1833,2021-02-25 00:00:00,2021-03-23 07:00:00,WITHDRAWN,C14,Storage,,,Battery,,,510.21,,,122.5,Full Capacity,,,,RIVERSIDE,CA,SCE,,Julian Hinds Substation 230 kV,2022-07-22 07:00:00,2022-07-22 07:00:00,,,,,,,withdrawn,,BLYTHE BESS,2021-08-25 07:00:00,IC Request
,1836,2021-03-22 00:00:00,2021-04-19 07:00:00,WITHDRAWN,ISP,Storage,,,Battery,,,213.55,,,200,Energy Only,,,,SONOMA,CA,PGAE,,Fulton 115 kV,2023-06-01 07:00:00,2027-06-01 07:00:00,,,Complete,Complete,,Terminated,withdrawn,,BRIX ENERGY STORAGE,2024-05-31 07:00:00,
,1837,2021-04-03 00:00:00,2021-04-15 07:00:00,WITHDRAWN,C14,Storage,,,Battery,,,313.79321,,,300,Full Capacity,,,,MARIN,CA,PGAE,,Ignacio 115 kV,2025-06-01 07:00:00,2030-06-18 07:00:00,,,Complete,Complete,,,withdrawn,,TAMALPAIS ENERGY STORAGE,2025-08-18 07:00:00,Failure to Cure Deficiency
,1838,2021-04-02 00:00:00,2021-04-15 07:00:00,WITHDRAWN,C14,Storage,,,Battery,,,313.79321,,,300,Full Capacity,,,,SONOMA,CA,PGAE,,Lakeville 115 kV,2025-06-01 07:00:00,2030-06-18 07:00:00,,,Complete,Complete,,,withdrawn,,BOREALIS ENERGY STORAGE,2025-08-18 07:00:00,Failure to Cure Deficiency
,1839,2021-04-01 00:00:00,2021-04-15 07:00:00,WITHDRAWN,C14,Storage,,,Battery,,,61.85,,,60,Full Capacity,,Off-Peak Deliverability,,EL DORADO,CA,PGAE,,Apple Hill Substation  115 kV,2024-11-01 07:00:00,2024-11-01 07:00:00,,,,,,,withdrawn,,NEWTON,2021-09-01 07:00:00,IC Request
,1840,2021-04-07 00:00:00,2021-04-15 07:00:00,WITHDRAWN,C14,Storage,,,Battery,,,252,,,250,Full Capacity,,,,NAPA,CA,PGAE,,Vaca-Lakeville #1 230 kV Line,2024-08-01 07:00:00,2031-12-19 08:00:00,,,Complete,Complete,,,withdrawn,,GENOA ENERGY STORAGE,2025-09-24 07:00:00,Failure to Cure Deficiency
,1841,2021-04-06 00:00:00,2021-04-15 07:00:00,WITHDRAWN,C14,Storage,,,Battery,,,40.4,,,40,Full Capacity,,,,LAKE,CA,PGAE,,Konocti Substation 60 kV,2025-01-01 08:00:00,2025-01-01 08:00:00,,,Complete,,,,withdrawn,,SCENIC ENERGY STORAGE,2022-11-23 08:00:00,IC Request
,1844,2021-04-07 00:00:00,2021-04-15 07:00:00,WITHDRAWN,C14,Storage,Photovoltaic,,Battery,Solar,,159.418,160.3789,,150,Full Capacity,,Off-Peak Deliverability,,GLENN,CA,PGAE,,Logan Creek-Delevan 230 kV Line,2025-10-01 07:00:00,2031-03-20 07:00:00,,,Complete,Complete,,,withdrawn,,KANOA SOLAR,2024-11-26 08:00:00,IC Request
,1845,2021-04-09 00:00:00,2021-04-15 07:00:00,WITHDRAWN,C14,Storage,,,Battery,,,102.2112,,,100,Full Capacity,,,,SONOMA,CA,PGAE,,Lakeville 60 kV,2023-06-01 07:00:00,2028-04-17 07:00:00,,,Complete,Complete,,,withdrawn,,NORTH BAY ENERGY STORAGE 2,2024-11-01 07:00:00,
