queue_number,project_number,project_name,fuel_1,fuel_2,fuel_3,mw_1,mw_2,mw_3,net_mw,county,state,study_area,pto,poi,voltage_kv,requested_cod,queue_date,application_date,withdrawal_date,service_type,status,days_queue_to_withdrawal,days_app_to_withdrawal,technology,is_withdrawn,is_active
2246,54762,Moonraker,Storage/Battery,,,352.7437,,,352.7437,Kern,CA,SCE NORTHERN,SCE,WHIRLWIND 230 kV,230,2029-12-01,,2024-11-15,,Full Capacity Deliverability Status Requested,active,,,other,0,1
2318,54861,Mt Baldy Energy Storage 2,Storage/Battery,,,204.93,,,204.93,San Bernardino County,CA,SCE METRO,SCE,MIRA LOMA 230 kV,230,2031-06-01,,2024-11-15,,Full Capacity Deliverability Status Requested,active,,,other,0,1
2266,54634,Muon,Photovoltaic/Solar,Storage/Battery,,1169.504,1169.504,,2339.008,Fresno County,CA,PG&E KERN,PGAE,HARLAN SW STA 500 kV ,500,2028-09-30,,2024-11-19,,Full Capacity Deliverability Status Requested,active,,,other,0,1
2312,55025,Musketeers,Photovoltaic/Solar,Storage/Battery,,524.483704,522.019348,,1046.503052,Tulare,CA,SCE NORTHERN,SCE,Magunden-Springville No.1 220 kV ,220,2029-07-31,,2024-11-26,,Energy Only Requested,active,,,other,0,1
2269,54733,Nelson,Photovoltaic/Solar,,,103.74,,,103.74,Nye,NV,SCE EOP,GLW,VALLEY SWITCH 230 kV,230,2031-06-01,,2024-11-18,,Energy Only Requested,active,,,other,0,1
2237,54671,Nelson Hills,Photovoltaic/Solar,,,204.57,,,204.57,Nye,NV,SCE EOP,GLW,VALLEY SWITCH 230 kV,230,2031-06-01,,2024-11-18,,Energy Only Requested,active,,,other,0,1
2214,54637,Octans,Storage/Battery,Photovoltaic/Solar,,103.226,103.226,,206.452,Fresno,CA,PG&E FRESNO,PGAE,ORO LOMA 70 kV,70,2031-12-01,,2024-11-20,,Energy Only Requested,active,,,other,0,1
2357,54675,Off Stream Water Storage,Hydro/Pumped-Storage Hydro,,,68.896962,,,68.896962,Colusa,CA,PG&E NGBA,PGAE,DELEVAN-CORTINA,230,2030-04-01,,2024-11-27,,Energy Only Requested,active,,,other,0,1
2239,54635,Pion,Storage/Battery,,,1167.705,,,1167.705,Fresno,CA,PG&E FRESNO,LSPC,MANNING 500 kV,500,2028-12-31,,2024-11-19,,Full Capacity Deliverability Status Requested,active,,,other,0,1
2343,54989,Quaking Aspen,Photovoltaic/Solar,Storage/Battery,,209.64296,107.902122,,317.545082,Kern,CA,PG&E FRESNO,PGAE,DRY LAKE SW STA 500 kV ,500,2029-07-31,,2024-11-21,,Full Capacity Deliverability Status Requested,active,,,other,0,1
